date,team_traded_from,player_name,player_pos,team_traded_to
07/30/23,Atlanta Braves,Taylor Hearn,LHP,Kansas City Royals
07/30/23,St. Louis Cardinals,Jordan Hicks,RHP,Toronto Blue Jays
07/30/23,Toronto Blue Jays,Adam Kloffenstein,RHP,St. Louis Cardinals
07/30/23,Toronto Blue Jays,Sem Robberse,RHP,St. Louis Cardinals
07/30/23,Los Angeles Angels,Mason Albright,LHP,Colorado Rockies
07/30/23,Los Angeles Angels,Jake Madden,RHP,Colorado Rockies
07/30/23,St. Louis Cardinals,Jordan Montgomery,LHP,Texas Rangers
07/30/23,St. Louis Cardinals,Chris Stratton,RHP,Texas Rangers
07/30/23,Texas Rangers,John King,LHP,St. Louis Cardinals
07/30/23,Texas Rangers,Tekoah Roby,RHP,St. Louis Cardinals
07/30/23,New York Mets,Max Scherzer,RHP,Texas Rangers
